Wallet,Fate_Rewards
0xe3ac7a0780344e41a90fe8b750bfac521b0c1ffb,732548.682763485262762137
0xe3ad38d0c2aacb7cb59ddf0f7b8aaa1b2121cdf3,221981.424066188301141935
0xe3f01af7931050d80350704991bb9e7404da07df,122683.305057642915695483
0xe65ed6cd022ceed7858594681b5739f9a7628976,22664.163159365844182177
0xe79d8ac9bbbc82b6ce8d45f073855608b6b7c881,7655.069686224322814303
0xe8e05fc7a2cbb4f3f317bf925439de6704bf6a42,2692.443930015350986176
0xeaf41e85a9804c74b332fad07f7e0cac53085345,530856.869493206220590034
0xed39c2729253cc577125baa6e3f17d4e676c26e2,79321.757453575586598885
0xedace1e651ba0d2eb674cb6540d1c0efbbe4c59c,2.773083597495824461
0xf2fcea2ec3684eff15ac367217bb0220ee4bf3cc,37733.060981382408750296
0xf36f6f9cb2e7153424fa3cfeb21e25f1f882ac58,225078.012710325944353481
0xf49fa78811053ca6eac929683199584527622514,36084.665664297187919976
0xf52bb56ecd90a0756dc11d0be4ca0a512de2587d,764.6427553431947952
0xf79e4cc7a5dedc344f711f7769cd10a6bb1d0de1,23363.801336692672389186
0xf86af0a9158fbd77c1c37a0f35321320aa59fcae,7018.370510931126100249
0xf899ba19116d911b35fd7eb09f5a85c3285aec49,11896.226590284422203177
0xf8e3cb58ce4c7ccd28ba8e76af99eb9910db0c1f,232607.368558640651817302
0xf974b729991c0c29534d14acf908a6efe9c965fc,59282.463741454129430007
0xf9dd3677dd98678c4152080a612ef9c9c18e8825,47222.74664875327260667
0xfb825828749435a66eb7710c0d743cb32ae022dd,43176.829294561618926054
0xfc806445c4b0cd46a7a8568066d76d0677f7a3b3,44117.758303683872669662
0xfc8c239091a90ae4c197b3446ef94a1c623879c8,189166.000285874667346018
0xfcad996b1dd841914849fde990f4a8db75204c88,12182.065265890232925891
0xfcb5972a508df665eafe17f6d4e32c8015106b80,323439.018872329977664242
0xfd09e2d6047780508355ebdf7b4e7f630749d6ec,1133.461789475263037191
0xfd383c9627b7283370e659e73efe673479154a52,44787.872147627185188837
0xfe3a593fb8a90185a8e31edc8eb02e7d889d52f0,4332.947966325759950826
0xfee48b87ecd5063cecd4c47fede287083c182375,81.68444352717781293
0xfeffe72b889c2538d91bda61f6d3061be83e28d7,26241.049125073939311033
0xffe19c3d8e01d3e1b8cfd8031baefdf0b325dc11,21288.234836644368888483
0x003492edf9605c85b68d2fe77bf1cf549f4bd875,57289.803517868970160584
0x005d9cb4bfc58276fbb6395a7f33ca06003f645f,42562.659788566767314084
0x00ecbf277eaa948a1915659e9193ff9f8d274c48,1291.764674175014996631
0x015067f48ba0b52ae27c1ef310210213dc6b73f4,16040.031912544590580567
0x019e298985534e32e6a4a469b3ff5b51ad89f427,893.901188597804944384
0x01a99ee37bae60cc554fca8a9755c76917a40b14,12.574435468445527622
0x01e7f86485fde4393dc396e0d6bd696c8ef55085,7079.902218713697395532
0x02441851f2fd85e9b46d9c6a5287f56484e2ec72,2427.462342785886000508
0x02713ccac3ee0476147f0ad010bc3906738a8878,7696.848955771840267999
0x03cd8272f4f0396d825e329a797bef66a1575447,1022.14776749727211812
0x041d552686bba6758489f8fc2132bce1da5952f7,2417.922676885695749651
0x056c0eec54edd3b58c2df89b80abce8f8554fb99,2151.938380844677301782
0x05976ae3ab8e6b3b01039f616670d3dd18b440a8,7066.912561197125160219
0x05b3cd4c7ebef291b99bdd6d319e84c59eb95747,694.952595280699768056
0x05e5ab383f3c2d423cfd118b83420261ab0990bc,1018.02292430526388784
0x06eb061298400ae581b5a61a200548a757ebbd26,3851.174085493597153351
0x0757bf3cb1e3f72f923a60a3f8c728809fe2b7ec,206.18751105391525028
0x07bd933f4e0acad517c319b2196332eeaa957da1,5.339789056714411536
0x085421cbb02a34e6f5cb2782ef72d9f5b99984d0,6332.78056944163899454
0x085a288077461f7a662ce91d59c8cf7dbca6a324,100857.517116517274098095
0x089bf3e372643868e2efd18b00bf58f4d93511c9,115.92803073209701624
0x08ea6e53b8f2464144439981655d9ca1d8098178,1808.059424281212528399
0x0998c03bde3ba6170a73e464f2c152778829e941,4620.059112124671467588
0x09d4cc177663c056be397b993c853e83f1ba3935,1348497.741522280101109202
0x0a3a41824db4e090da8e011a782ca2e0b0d22e01,47.718456630386338616
0x0ac6e7cc69a4d3c0e9efd02aadc1c5a215f8fdf1,74.393804760071417907
0x0ae8192b510fe3a7f76d187e61bf1d9f37866713,12.230008153705822656
0x0b09f2845a509655797db011ba5e5581cf9afd65,21193.312684148091739075
0x0b5283cd5f8ce27363260319a0b575cec9680a6c,34313.817127703339432252
0x0b6e297a36ec54ffb9e5a53e90dd8f76d4e15a1b,757.336820188142637324
0x0b89abc702d930257763afb084637f246644c5b3,366.496037196621104816
0x0bf01a1e21c5853fd627b27f6af9ff9a4fde7976,6690.039714266387530196
0x0bfc9bea92b9dff8f7819aeef443ac4ac7390957,151.014691520466869699
0x0c55b13cec1df9a2acac90d16e80105fc3207344,730.907096691452281752
0x0ccebbb258c22224b6f046a2be9c488e25ab5bc0,13510.140522149702537606
0x0e15c6b69dd471c15ae930993b33c864e1e1d8cf,2287852.464891237049257479
0x1002d9e169d5389574c381a2cf0f7e0d798e920f,169.554208380054922714
0x100e2c699df987a99c033e5a0c0bbc6461c100af,500.683527620719161304
0x101fac000bd6a466e5a19f4c9a78910f02fbd5ca,10.196809341254399468
